id,job_title,rating,company_name,location,headquarters,size,founded,type_of_ownership,industry,sector,revenue,competitors,hourly,employer_provided,lower_salary,upper_salary,job_location,age,python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,degree,City,State,estimated_revenue,avg_salary
699,Sr. Scientist Method Development,2.9,Q2 Solutions,"Marietta, GA","Morrisville, Nc",1001 - 5000,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Unknown,0,0,50000,110000,GA,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Sr,Unknown,Marietta,Ga,500000.0,80000.0
700,Data Scientist,4.7,Oversight Systems,"Atlanta, GA","Atlanta, Ga",51 - 200,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),Unknown,0,0,60000,99000,GA,18.0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,Data Scientist,Other,Unknown,Atlanta,Ga,500000.0,79500.0
701,Data Scientist - Sales,4.7,Confluent,"Mountain View, CA","Mountain View, Ca",501 - 1000,2014,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),Unknown,0,0,130000,206000,CA,7.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Other,Unknown,Mountain View,Ca,500000.0,168000.0
702,It - Data Engineer Ii,3.4,Arbella Insurance,"Quincy, MA","Quincy, Ma",1001 - 5000,1988,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),Unknown,0,0,61000,119000,MA,33.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Data Engineer,Other,Unknown,Quincy,Ma,500000.0,90000.0
703,"Research Scientist, Immunology - Cancer Biology",3.7,Kronos Bio,"Cambridge, MA","San Mateo, Ca",Unknown,1992,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Unknown,0,1,100000,140000,MA,29.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Other,P,Cambridge,Ma,500000.0,120000.0
704,Senior Data Analyst,3.9,Life360,"San Francisco, CA","San Francisco, Ca",51 - 200,2008,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Unknown,0,0,99000,178000,CA,13.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Analyst,Sr,Unknown,San Francisco,Ca,500000.0,138500.0
705,"Principal, Data Science - Advanced Analytics",3.6,Iqvia,"Plymouth Meeting, PA","Durham, Nc",10000+,2017,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),"PPD, INC Research, PRA Health Sciences",0,0,86000,137000,PA,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Sr,M,Plymouth Meeting,Pa,500000.0,111500.0
706,Data Science Project Manager,3.6,Massmutual,"Boston, MA","Springfield, Ma",5001 - 10000,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Unknown,0,0,37000,100000,MA,170.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Other,M,Boston,Ma,500000.0,68500.0
707,"Sr Scientist, Immuno-Oncology - Oncology",3.9,Gsk,"Cambridge, MA","Brentford, United Kingdom",10000+,1830,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Pfizer, AstraZeneca, Merck",0,0,58000,111000,MA,191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Sr,M,Cambridge,Ma,500000.0,84500.0
708,Senior Data Engineer,4.4,Eventbrite,"Nashville, TN","San Francisco, Ca",1001 - 5000,2006,Company - Public,Internet,Information Technology,$100 to $500 million (USD),"See Tickets, TicketWeb, Vendini",0,0,72000,133000,TN,15.0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Engineer,Sr,Unknown,Nashville,Tn,500000.0,102500.0
709,"Project Scientist - Auton Lab, Robotics Institute",2.6,Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, Pa",501 - 1000,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,Unknown,0,0,56000,91000,PA,37.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Other,P,Pittsburgh,Pa,500000.0,73500.0
711,Research Scientist – Security And Privacy,3.6,Riverside Research Institute,"Beavercreek, OH","Arlington, Va",501 - 1000,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),Unknown,0,0,61000,126000,OH,54.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Other,M,Beavercreek,Oh,500000.0,93500.0
